NAME,DESCONT,PRICE,RATING,RELEASE,ENDS,STARTED
Blood Omen 2: Legacy of Kain,-86%,"R$ 4,05",66.23%,Mar 2002,2024-05-20 14:00:00,2024-05-10 14:01:24
Omikron: The Nomad Soul,-86%,"R$ 4,88",64.55%,Nov 1999,2024-05-21 14:00:00,2024-05-08 14:01:24
Watch_Dogs™,-85%,"R$ 14,24",75.43%,May 2014,2024-05-20 14:00:00,2024-05-13 14:21:26
"Invisible, Inc.",-75%,"R$ 9,24",88.55%,May 2015,2024-05-20 14:00:00,2024-05-13 14:21:26
Men of War: Assault Squad 2,-80%,"R$ 17,79",89.59%,May 2014,2024-05-22 14:00:00,2024-05-15 14:01:23
Crypt of the NecroDancer,-80%,"R$ 9,39",93.71%,Apr 2015,2024-05-20 14:00:00,2024-05-13 14:21:26
Dysfunctional Systems: Learning to Manage Chaos,-50%,"R$ 5,24",72.25%,Apr 2013,2024-05-21 14:00:00,2024-05-14 14:01:23
Risk of Rain (2013),-80%,"R$ 3,99",91.50%,Nov 2013,2024-05-20 14:00:00,2024-05-13 14:21:26
NEO Scavenger,-75%,"R$ 11,74",86.88%,Dec 2014,2024-05-20 14:00:00,2024-05-13 14:21:26
Dungeon of the ENDLESS™,-80%,"R$ 4,79",83.76%,Oct 2014,2024-05-20 14:00:00,2024-05-13 14:21:26
The Wolf Among Us,-50%,"R$ 25,00",95.71%,Oct 2013,2024-05-20 14:00:00,2024-05-13 14:21:26
Bridge Constructor,-90%,"R$ 3,29",73.53%,Oct 2013,2024-05-22 14:00:00,2024-05-15 14:01:24
Super Amazing Wagon Adventure,-66%,"R$ 3,56",90.72%,Oct 2013,2024-05-20 14:00:00,2024-05-13 14:21:26
BELOW,-75%,"R$ 11,87",67.83%,Dec 2018,2024-05-20 14:00:00,2024-05-13 14:21:26
Livelock,-85%,"R$ 3,10",75.65%,Aug 2016,2024-05-27 14:00:00,2024-05-13 14:21:26
The Inner World,-90%,"R$ 4,69",85.37%,Sep 2013,2024-05-22 14:00:00,2024-05-15 14:01:24
Legend of Grimrock 2,-80%,"R$ 14,20",87.48%,Oct 2014,2024-05-20 14:00:00,2024-05-13 14:21:26
Long Live The Queen,-65%,"R$ 9,09",91.88%,Nov 2013,2024-05-20 14:00:00,2024-05-13 14:21:26
Lovers in a Dangerous Spacetime,-50%,"R$ 13,99",89.35%,Sep 2015,2024-05-20 14:00:00,2024-05-13 14:21:26
Syder Arcade,-50%,"R$ 9,99",79.24%,Oct 2013,2024-05-20 14:00:00,2024-05-13 14:21:26
Death Road to Canada,-75%,"R$ 6,99",90.30%,Jul 2016,2024-05-20 14:00:00,2024-05-13 14:21:26
Race The Sun,-75%,"R$ 8,24",90.50%,Dec 2013,2024-05-20 14:00:00,2024-05-13 14:21:26
A Hat in Time,-50%,"R$ 44,49",96.07%,Oct 2017,2024-05-20 14:00:00,2024-05-13 14:21:26
Duskers,-50%,"R$ 18,49",86.27%,May 2016,2024-05-20 14:00:00,2024-05-13 14:21:26
Abyss Odyssey,-80%,"R$ 5,59",61.45%,Jul 2014,2024-05-20 14:00:00,2024-05-13 14:21:27
Cities: Skylines,-70%,"R$ 32,39",92.25%,Mar 2015,2024-05-23 14:00:00,2024-05-09 14:01:26
Child of Light,-70%,"R$ 13,49",89.63%,Apr 2014,2024-05-31 14:00:00,2024-05-17 14:01:22
Not The Robots,-75%,"R$ 8,24",74.96%,Dec 2013,2024-05-27 14:00:00,2024-05-13 14:21:27
Rebuild 3: Gangs of Deadsville,-60%,"R$ 18,79",82.30%,May 2015,2024-05-20 14:00:00,2024-05-13 14:21:27
The Talos Principle,-85%,"R$ 13,34",93.47%,Dec 2014,2024-05-30 14:00:00,2024-05-16 14:01:24
Survivor Squad,-80%,"R$ 2,09",64.16%,Nov 2013,2024-05-20 14:00:00,2024-05-13 14:21:27
Scania Truck Driving Simulator,-80%,"R$ 6,39",77.40%,Jun 2012,2024-05-30 14:00:00,2024-05-16 14:01:24
Hero of the Kingdom,-85%,"R$ 3,97",90.11%,Dec 2012,2024-05-20 14:00:00,2024-05-13 14:21:27
